                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.66247,                 1.0729,                0.46958,                0.97334,                0.94573,                0.88356,                0.96522,                  0.837,                0.94752,                0.88529,                0.96693,                0.86145,                0.49057,                0.61432,                0.38996,                0.89068,             0.00087726,             0.00087726,             0.00087726
                     42,                0.65643,                 1.0681,                0.45951,                0.96803,                0.93778,                 0.8589,                 0.9487,                0.81567,                0.93547,                0.88962,                0.95963,                0.85483,                0.52013,                0.61911,                0.45889,                 0.9382,             0.00086312,             0.00086312,             0.00086312
                     43,                0.65556,                 1.0592,                0.45372,                0.96527,                0.96904,                0.87032,                0.95165,                0.82414,                0.96904,                0.87032,                0.95878,                  0.837,                0.49064,                0.69784,                0.40642,                0.90485,             0.00084897,             0.00084897,             0.00084897
                     44,                0.64899,                 1.0424,                0.44754,                0.96698,                0.96073,                0.88953,                0.96252,                0.85193,                0.96141,                0.89273,                 0.9709,                0.87954,                0.45916,                0.57208,                0.36951,                0.87935,             0.00083482,             0.00083482,             0.00083482
                     45,                0.64273,                 1.0338,                0.44544,                0.96336,                0.97142,                0.88337,                0.95151,                0.84141,                0.97142,                0.88337,                0.96697,                0.88139,                0.47576,                0.56257,                0.37911,                0.88312,             0.00082067,             0.00082067,             0.00082067
                     46,                0.64152,                 1.0139,                0.44056,                0.96299,                0.98792,                0.86827,                0.95714,                0.84804,                0.98792,                0.86827,                0.96431,                 0.8698,                0.46234,                0.53687,                0.37198,                0.88602,             0.00080653,             0.00080653,             0.00080653
                     47,                0.64231,                 1.0312,                0.44622,                0.96375,                0.95215,                0.89875,                0.96766,                0.84953,                0.95215,                0.89875,                0.96795,                0.87581,                0.47242,                0.56335,                0.38086,                0.90399,             0.00079238,             0.00079238,             0.00079238
                     48,                0.64728,                 1.0217,                0.44738,                0.96508,                0.95412,                0.90379,                0.97119,                 0.8446,                0.95412,                0.90379,                0.97101,                0.86978,                0.47401,                0.56154,                0.37484,                0.89901,             0.00077823,             0.00077823,             0.00077823
                     49,                0.63121,                  1.013,                0.43266,                0.95745,                0.97501,                0.86681,                0.95876,                 0.8348,                0.97501,                0.86681,                 0.9595,                0.86369,                0.46169,                0.56562,                0.36104,                 0.8778,             0.00076409,             0.00076409,             0.00076409
                     50,                0.63035,                 1.0067,                0.43511,                0.95546,                0.95536,                0.88979,                0.95585,                0.84026,                0.95536,                0.88979,                0.95527,                0.87055,                 0.4747,                0.58537,                0.37065,                0.90919,             0.00074994,             0.00074994,             0.00074994
                     51,                0.63177,                0.99976,                0.43351,                 0.9583,                0.94314,                 0.8895,                0.96673,                0.83949,                0.94314,                 0.8895,                0.96662,                0.87338,                0.45675,                0.55757,                0.36671,                0.87762,             0.00073579,             0.00073579,             0.00073579
                     52,                0.62471,                0.99808,                0.43346,                0.95459,                0.93406,                0.91914,                0.96651,                0.85017,                0.93406,                0.91914,                0.96775,                0.88273,                 0.4554,                0.55066,                 0.3588,                0.87425,             0.00072164,             0.00072164,             0.00072164
                     53,                0.61901,                0.97717,                0.41682,                0.95218,                0.98452,                 0.9033,                0.97947,                 0.8631,                0.98452,                 0.9033,                0.97739,                 0.8671,                0.44862,                0.56746,                0.35209,                0.87868,              0.0007075,              0.0007075,              0.0007075
                     54,                0.62353,                 0.9849,                0.42044,                0.95467,                0.94187,                0.91336,                0.96397,                0.85375,                0.94208,                0.91264,                0.96581,                0.87569,                0.45446,                 0.5225,                0.35408,                0.88173,             0.00069335,             0.00069335,             0.00069335
                     55,                0.61501,                0.98189,                0.42309,                0.94968,                0.92269,                0.93091,                0.97204,                  0.846,                 0.9244,                0.93263,                0.97378,                0.88102,                0.46711,                0.49881,                0.34995,                0.88694,              0.0006792,              0.0006792,              0.0006792
                     56,                0.60456,                0.95017,                0.40915,                0.94911,                0.95238,                0.92704,                0.98189,                0.84772,                0.95211,                0.92709,                0.97586,                0.86452,                 0.4673,                0.51318,                0.33768,                0.89429,             0.00066506,             0.00066506,             0.00066506
                     57,                0.60653,                0.97241,                0.41697,                0.94629,                0.97715,                0.90158,                0.97313,                0.85393,                0.97897,                0.90331,                0.97364,                0.88117,                 0.4542,                0.52901,                0.36227,                0.87949,             0.00065091,             0.00065091,             0.00065091
                     58,                0.60562,                0.95906,                 0.4127,                0.94767,                0.90927,                0.93795,                 0.9671,                0.85137,                0.90927,                0.93795,                0.96647,                0.87037,                0.46814,                0.54164,                0.36177,                0.90258,             0.00063676,             0.00063676,             0.00063676
                     59,                0.60451,                0.95187,                0.40597,                0.94597,                0.95019,                0.93781,                0.97683,                 0.8661,                0.95019,                0.93781,                0.97546,                0.88678,                0.43553,                  0.526,                0.33459,                0.88817,             0.00062262,             0.00062262,             0.00062262
                     60,                0.60931,                0.95966,                0.41145,                0.95047,                0.94184,                0.93374,                0.97446,                0.85852,                 0.9436,                0.93547,                0.97522,                0.88504,                0.45047,                0.54753,                0.33807,                0.87947,             0.00060847,             0.00060847,             0.00060847
                     61,                0.59902,                0.93664,                0.40546,                0.94066,                0.95302,                0.91682,                0.97455,                0.85706,                0.95294,                0.92056,                0.97657,                0.87746,                0.45586,                0.54239,                0.34412,                 0.8849,             0.00059432,             0.00059432,             0.00059432
                     62,                0.59128,                0.93499,                 0.3981,                0.94084,                0.97686,                0.89509,                0.97422,                0.85538,                0.96196,                0.90744,                0.97143,                0.88763,                0.45563,                0.54714,                0.35174,                0.87608,             0.00058017,             0.00058017,             0.00058017
                     63,                0.59432,                0.93333,                0.39441,                0.93967,                 0.9185,                0.93954,                0.97511,                0.87029,                 0.9185,                0.93954,                0.97108,                0.88762,                 0.4316,                0.54022,                0.33835,                0.86976,             0.00056603,             0.00056603,             0.00056603
                     64,                0.59212,                0.92546,                0.39316,                0.93965,                0.94653,                0.93861,                0.97264,                0.86069,                0.94653,                0.93861,                0.97645,                0.87787,                0.42707,                 0.4964,                0.33631,                0.86236,             0.00055188,             0.00055188,             0.00055188
